,2 years,3 years,4 years,5 years,7 years,10 years,20 years,30 years
2000 08,3.804,3.721,3.685,3.684,3.731,3.84,4.177,4.401
2000 09,3.615,3.619,3.654,3.702,3.807,3.954,4.284,4.449
2000 10,3.578,3.585,3.623,3.672,3.779,3.927,4.265,4.446
2000 11,3.614,3.576,3.568,3.583,3.649,3.771,4.115,4.325
2000 12,3.232,3.22,3.236,3.271,3.374,3.552,3.983,4.188
2001 01,3.162,3.145,3.158,3.193,3.3,3.497,4.02,4.28
2001 02,3.156,3.122,3.132,3.169,3.285,3.492,4.013,4.267
2001 03,2.996,2.996,3.013,3.044,3.139,3.327,3.925,4.294
2001 04,3.163,3.181,3.205,3.239,3.337,3.529,4.141,4.496
2001 05,3.175,3.191,3.221,3.262,3.368,3.556,4.14,4.519
2001 06,3.103,3.093,3.102,3.127,3.211,3.383,3.972,4.369
2001 07,3.045,3.027,3.037,3.067,3.165,3.357,3.954,4.314
2001 08,2.814,2.879,2.943,3.003,3.126,3.317,3.87,4.211
2001 09,2.426,2.571,2.703,2.824,3.038,3.302,3.86,4.151
2001 10,2.058,2.251,2.406,2.535,2.749,3.005,3.577,3.915
2001 11,2.376,2.536,2.672,2.792,3.002,3.261,3.816,4.113
2001 12,2.454,2.72,2.927,3.089,3.326,3.555,3.977,4.223
2002 01,2.575,2.878,3.082,3.225,3.41,3.59,4.024,4.3
2002 02,2.476,2.748,2.961,3.13,3.376,3.61,4.016,4.261
2002 03,2.592,2.892,3.088,3.227,3.422,3.636,4.093,4.307
2002 04,2.381,2.658,2.87,3.035,3.278,3.528,4.04,4.336
2002 05,2.192,2.509,2.739,2.915,3.178,3.465,4.028,4.283
2002 06,2.072,2.355,2.562,2.727,2.988,3.299,3.96,4.271
2002 07,1.56,1.939,2.244,2.494,2.874,3.248,3.786,3.979
2002 08,1.384,1.776,2.1,2.368,2.779,3.192,3.806,4.032
2002 09,1.275,1.539,1.776,1.989,2.349,2.761,3.498,3.878
2002 10,1.072,1.424,1.731,1.994,2.415,2.863,3.6,3.894
2002 11,1.224,1.497,1.743,1.966,2.349,2.799,3.625,3.952
2002 12,0.786,1.062,1.318,1.547,1.935,2.396,3.356,3.856
2003 01,0.827,1.075,1.315,1.538,1.929,2.396,3.323,3.745
2003 02,0.673,0.931,1.194,1.442,1.873,2.375,3.333,3.787
2003 03,0.781,1.078,1.346,1.59,2.018,2.537,3.566,4.024
2003 04,0.823,1.171,1.474,1.738,2.175,2.659,3.499,3.85
2003 05,0.598,0.898,1.175,1.425,1.853,2.358,3.342,3.806
2003 06,0.664,1.003,1.321,1.609,2.087,2.607,3.446,3.767
2003 07,0.721,1.088,1.422,1.715,2.182,2.666,3.453,3.786
2003 08,0.862,1.3,1.665,1.963,2.413,2.875,3.627,3.924
2003 09,0.729,1.145,1.508,1.813,2.284,2.777,3.624,3.98
